datetime,601857.SH,600893.SH,601288.SH,600104.SH,600031.SH,601318.SH,600570.SH,600276.SH,600436.SH,603799.SH,601688.SH,601668.SH,603501.SH,601633.SH,600028.SH,600588.SH,601601.SH,601066.SH,600887.SH,601628.SH,600346.SH,600309.SH,600111.SH,601995.SH,600519.SH,600048.SH,600036.SH,600809.SH,601012.SH,601088.SH,603259.SH,600900.SH,601398.SH,603986.SH,600905.SH,600196.SH,603288.SH,601166.SH,600010.SH,601899.SH,600745.SH,600030.SH,601728.SH,600438.SH,601919.SH,601211.SH,601888.SH,600690.SH,600585.SH,600837.SH,cash,commission,total,returns,equity_curve
2020-03-30,0.0,2150.0,0.0,0.0,7044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15800.0,2709.0,0.0,0.0,0.0,3110.0,2903.0,0.0,0.0,4000.0,0.0,0.0,0.0,1520.0,0.0,0.0,2476.0,0.0,0.0,0.0,0.0,0.0,0.0,3329.9999999999995,0.0,0.0,0.0,2952.0,10278.0,0.0,0.0,2332.0,0.0,0.0,0.0,1430.0,5584.0,3864.0000000000005,149834.22699999993,864.7730000000001,221316.22699999993,0.0021145647931111178,1.1065811349999999
2020-03-31,0.0,2120.0,0.0,0.0,6920.0,0.0,0.0,0.0,0.0,2941.0,0.0,0.0,15590.0,2667.0,0.0,0.0,0.0,3103.0,2986.0,0.0,0.0,4125.0,0.0,0.0,0.0,1487.0,0.0,0.0,2484.0,0.0,0.0,0.0,0.0,0.0,0.0,3286.0,0.0,0.0,0.0,2952.0,10150.0,0.0,0.0,2322.0,0.0,0.0,0.0,1440.0,5510.0,3852.0,146935.3369999999,873.6630000000001,220870.3369999999,-0.002014718965907658,1.1043516849999997
2020-04-01,0.0,2088.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,3110.0,0.0,0.0,15597.999999999998,2544.0,0.0,0.0,0.0,3054.0,0.0,0.0,0.0,4139.0,0.0,0.0,0.0,1497.0,0.0,0.0,2535.0,0.0,0.0,0.0,0.0,0.0,0.0,3166.0,0.0,0.0,0.0,2984.0,10200.0,0.0,0.0,2370.0,0.0,0.0,0.0,0.0,5480.0,3858.0,151349.3369999999,885.6630000000001,220972.3369999999,0.00046180940992535113,1.1048616849999997
2020-04-02,0.0,2152.0,0.0,0.0,7012.0,0.0,0.0,0.0,0.0,3153.0,0.0,0.0,16616.0,2490.0,0.0,0.0,0.0,3122.0,0.0,0.0,0.0,4220.0,0.0,0.0,0.0,1509.0,0.0,0.0,2596.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,2960.0,11022.0,0.0,0.0,2526.0,0.0,0.0,0.0,0.0,5472.0,3921.0,151349.3369999999,885.6630000000001,223320.3369999999,0.010625764436749341,1.1166016849999996
2020-04-03,0.0,2171.0,0.0,0.0,7152.0,0.0,0.0,0.0,0.0,3026.0,0.0,0.0,16350.0,2448.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,1503.0,0.0,0.0,2533.0,0.0,0.0,0.0,0.0,0.0,0.0,3296.0,0.0,0.0,0.0,2960.0,10699.0,0.0,0.0,2446.0,0.0,0.0,0.0,0.0,5462.0,3867.0,151349.3369999999,885.6630000000001,222604.3369999999,-0.0032061567236485455,1.1130216849999994
2020-04-07,0.0,2224.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,3174.0,0.0,0.0,16598.0,2496.0,0.0,0.0,0.0,3130.0,0.0,0.0,0.0,4360.0,0.0,0.0,0.0,1516.0,0.0,0.0,2576.0,0.0,0.0,0.0,0.0,0.0,0.0,3386.9999999999995,0.0,0.0,0.0,3176.0,10905.0,0.0,0.0,2550.0,0.0,0.0,0.0,0.0,5780.0,3945.0,151349.3369999999,885.6630000000001,224766.3369999999,0.009712299540686864,1.1238316849999994
2020-04-08,0.0,2332.0,0.0,0.0,7559.999999999999,0.0,0.0,0.0,0.0,3278.0,0.0,0.0,16759.0,2463.0000000000005,0.0,0.0,0.0,3105.0,0.0,0.0,0.0,4339.0,0.0,0.0,0.0,1517.0,0.0,0.0,2567.0,0.0,0.0,0.0,0.0,0.0,0.0,3389.0,0.0,0.0,0.0,3160.0,11095.0,0.0,0.0,2506.0,0.0,0.0,0.0,0.0,5760.0,3930.0,151349.3369999999,885.6630000000001,225109.3369999999,0.0015260292291900956,1.1255466849999993
2020-04-09,0.0,2325.0,0.0,0.0,7552.0,0.0,0.0,0.0,0.0,3304.9999999999995,0.0,0.0,16285.0,2481.0,0.0,0.0,0.0,3151.0,0.0,0.0,0.0,4318.0,0.0,0.0,0.0,1494.0,0.0,0.0,2509.0,0.0,0.0,0.0,0.0,0.0,0.0,3361.9999999999995,0.0,0.0,0.0,3160.0,10828.0,0.0,0.0,2458.0,0.0,0.0,0.0,0.0,5795.0,3935.9999999999995,151349.3369999999,885.6630000000001,224308.3369999999,-0.0035582708859384082,1.1215416849999993
2020-04-10,0.0,2268.0,0.0,0.0,7628.0,0.0,0.0,0.0,0.0,3247.9999999999995,0.0,0.0,15550.0,2424.0,0.0,0.0,0.0,3090.0,0.0,0.0,0.0,4290.0,0.0,0.0,0.0,1469.0,0.0,0.0,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.0000000000005,0.0,0.0,0.0,3176.0,10280.0,0.0,0.0,2356.0,0.0,0.0,0.0,0.0,5788.0,3864.0000000000005,151349.3369999999,885.6630000000001,222543.3369999999,-0.007868633077155796,1.1127166849999992
2020-04-13,0.0,2229.0,0.0,0.0,7928.0,0.0,0.0,0.0,0.0,3203.0,0.0,0.0,14803.0,2424.0,0.0,0.0,0.0,3017.0,0.0,0.0,0.0,4233.0,0.0,0.0,0.0,1507.0,0.0,0.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0,3334.0000000000005,0.0,0.0,0.0,3200.0,9253.0,0.0,0.0,2260.0,0.0,0.0,0.0,0.0,5930.0,3813.0000000000005,151349.3369999999,885.6630000000001,220871.3369999999,-0.007513143383843457,1.1043566849999993
